NM_REGIAO,CD_UF,NM_UF,SIGLA,CD_MUN,NM_MUN,AREA_TOT,AREA_INT,PERC_INT,LAT_SEDE,LNG_SEDE,SEDE_AL,,,,
Norte,13,Amazonas,AM,1301407,Eirunepé,"14.966,24","14.966,24",100,"-6,67","-69,87",sim,,,,
Norte,13,Amazonas,AM,1301506,Envira,"7.505,79","7.505,79",100,"-7,44","-70,03",sim,,,,
Norte,13,Amazonas,AM,1301605,Fonte Boa,"12.155,43","12.155,43",100,"-2,51","-66,10",sim,,,,
Norte,13,Amazonas,AM,1301654,Guajará,"7.583,53","7.583,53",100,"-7,54","-72,58",sim,,,,
Norte,13,Amazonas,AM,1301704,Humaitá,"33.111,14","33.111,14",100,"-7,51","-63,02",sim,,,,
Norte,13,Amazonas,AM,1301803,Ipixuna,"12.109,78","12.109,78",100,"-7,05","-71,69",sim,,,,
Norte,13,Amazonas,AM,1301852,Iranduba,"2.216,82","2.216,82",100,"-3,28","-60,19",sim,,,,
Norte,13,Amazonas,AM,1301902,Itacoatiara,"8.891,91","8.891,91",100,"-3,15","-58,45",sim,,,,
Norte,13,Amazonas,AM,1301951,Itamarati,"25.260,43","25.260,43",100,"-6,44","-68,24",sim,,,,
Norte,13,Amazonas,AM,1302009,Itapiranga,"4.335,08","4.335,07",100,"-2,75","-58,02",sim,,,,
Norte,13,Amazonas,AM,1302108,Japurá,"55.827,20","55.827,20",100,"-1,88","-67,00",sim,,,,
Norte,13,Amazonas,AM,1302207,Juruá,"19.442,55","19.442,55",100,"-3,47","-66,07",sim,,,,
Norte,13,Amazonas,AM,1302306,Jutaí,"69.457,42","69.457,42",100,"-2,74","-66,77",sim,,,,
Norte,13,Amazonas,AM,1302405,Lábrea,"68.262,68","68.262,68",100,"-7,26","-64,80",sim,,,,
Norte,13,Amazonas,AM,1302504,Manacapuru,"7.336,58","7.336,58",100,"-3,30","-60,62",sim,,,,
Norte,13,Amazonas,AM,1302553,Manaquiri,"3.973,26","3.973,26",100,"-3,43","-60,46",sim,,,,
Norte,13,Amazonas,AM,1302603,Manaus,"11.401,09","11.401,09",100,"-3,14","-60,03",sim,,,,
Norte,13,Amazonas,AM,1302702,Manicoré,"48.315,02","48.315,02",100,"-5,81","-61,30",sim,,,,
Norte,13,Amazonas,AM,1302801,Maraã,"16.830,83","16.830,83",100,"-1,86","-65,59",sim,,,,
